8929.29 [130 x 166 from (438, 293)]

8993.9 [136 x 180 from (124, 209)]
8993.9 [146 x 176 from (429, 284)]

9054.57 [140 x 176 from (124, 209)]

9124.59 [129 x 189 from (133, 198)]

9192.27 [145 x 205 from (114, 194)]

9264.59 [150 x 185 from (114, 193)]
9264.59 [130 x 141 from (324, 9)]

9327.58 [142 x 181 from (118, 197)]

9393.88 [132 x 182 from (128, 209)]

9460.95 [138 x 164 from (124, 216)]

9535.17 [132 x 168 from (130, 201)]
9535.17 [153 x 172 from (446, 305)]

9599.53 [137 x 164 from (122, 193)]
9599.53 [134 x 189 from (469, 268)]

9669.72 [128 x 173 from (124, 178)]
9669.72 [134 x 177 from (461, 233)]

9761.36 [133 x 177 from (450, 232)]
9761.36 [140 x 173 from (104, 184)]

9838.79 [132 x 182 from (453, 256)]
9838.79 [144 x 180 from (93, 201)]

9937.74 [134 x 178 from (449, 286)]
9937.74 [190 x 209 from (49, 229)]

9999.32 [138 x 180 from (445, 281)]

10067.2 [129 x 180 from (441, 269)]

10132.5 [126 x 177 from (440, 262)]

10199.9 [126 x 184 from (442, 262)]

10261.7 [122 x 172 from (444, 272)]

10328.7 [129 x 180 from (442, 278)]

10395.2 [125 x 176 from (442, 285)]
10395.2 [145 x 206 from (150, 246)]

10463.8 [125 x 165 from (445, 278)]
10463.8 [148 x 177 from (138, 286)]

10538.8 [126 x 162 from (446, 268)]
10538.8 [148 x 186 from (126, 250)]

10605 [121 x 161 from (448, 258)]
10605 [150 x 174 from (142, 225)]

10674.3 [124 x 162 from (444, 257)]
10674.3 [145 x 186 from (145, 221)]

10736.3 [128 x 184 from (156, 232)]
10736.3 [120 x 170 from (444, 272)]

10799.6 [141 x 197 from (140, 244)]
10799.6 [130 x 176 from (441, 301)]

10869.1 [133 x 168 from (137, 289)]
10869.1 [154 x 160 from (420, 317)]

10929.9 [137 x 176 from (133, 273)]

10996.6 [134 x 180 from (133, 250)]

11081.7 [142 x 164 from (129, 249)]

11140.6 [162 x 196 from (82, 253)]

11204 [148 x 173 from (113, 256)]

11266.9 [140 x 176 from (110, 270)]

11331.9 [130 x 170 from (108, 288)]

11397.8 [130 x 165 from (109, 285)]
11397.8 [136 x 189 from (428, 281)]

11473.8 [136 x 177 from (421, 288)]
11473.8 [138 x 174 from (100, 269)]

11543.6 [126 x 169 from (422, 265)]
11543.6 [138 x 169 from (92, 258)]

11608.9 [122 x 164 from (105, 253)]
11608.9 [122 x 172 from (420, 257)]

11677.6 [122 x 172 from (418, 261)]
11677.6 [170 x 205 from (58, 253)]

11738.8 [126 x 166 from (102, 266)]
11738.8 [126 x 176 from (420, 276)]

11806.1 [125 x 158 from (102, 273)]
11806.1 [129 x 170 from (422, 284)]

11870.7 [132 x 166 from (429, 274)]
11870.7 [196 x 218 from (37, 249)]

11937.5 [124 x 168 from (438, 256)]
11937.5 [125 x 156 from (110, 217)]

12014.5 [120 x 166 from (438, 260)]
12014.5 [138 x 160 from (120, 197)]

12078.5 [129 x 172 from (149, 197)]
12078.5 [130 x 182 from (437, 268)]

12139.1 [136 x 161 from (436, 298)]

12207 [129 x 185 from (168, 233)]

12271.8 [165 x 174 from (144, 268)]

12342 [157 x 213 from (137, 241)]

12407 [157 x 192 from (133, 262)]





12743.5 [154 x 165 from (454, 312)]
12743.5 [112 x 137 from (201, 105)]



12947.6 [153 x 218 from (150, 221)]

13008.4 [176 x 182 from (73, 285)]


13143.7 [104 x 144 from (366, 86)]



13342.6 [104 x 144 from (197, 96)]

13413.5 [126 x 164 from (417, 244)]





13751.2 [150 x 124 from (101, 353)]


13880.6 [152 x 129 from (94, 348)]

13948.6 [157 x 150 from (82, 326)]

14016.4 [153 x 168 from (78, 309)]

14086.2 [142 x 174 from (90, 296)]
14086.2 [129 x 157 from (456, 316)]

14150.8 [136 x 170 from (90, 290)]
14150.8 [134 x 170 from (454, 293)]

14220.3 [124 x 164 from (458, 278)]
14220.3 [145 x 177 from (85, 294)]

14285.8 [120 x 173 from (457, 278)]
14285.8 [145 x 166 from (84, 310)]

14350.3 [122 x 172 from (456, 286)]

14426.9 [126 x 166 from (448, 284)]

14514.1 [121 x 162 from (445, 280)]

14590.1 [117 x 156 from (446, 281)]

14653.3 [117 x 161 from (444, 284)]

14723.5 [157 x 196 from (182, 238)]
14723.5 [113 x 154 from (445, 269)]

14789.4 [129 x 177 from (198, 265)]
14789.4 [105 x 140 from (445, 258)]

14854.9 [102 x 133 from (445, 256)]
14854.9 [132 x 217 from (198, 230)]

14923.4 [108 x 145 from (445, 262)]
14923.4 [144 x 162 from (181, 293)]
